name,ticker,cusip,shares,value_usd,pct_portfolio,country,report_date,filing_date,accession,quarter,form_type
Air Transport Services Group I,ATSG,00922R105,2167139.0,54308503.34,3.2963908891,US,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Alaska Air Group Inc,ALK,011659109,1705017.0,62454772.71,3.7908491504,US,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Allegiant Travel Co,ALGT,01748X102,527668.0,63214626.4,3.8369703768,US,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
American Airlines Group Inc,AAL,02376R102,13183230.0,162021896.7,9.8343255895,US,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Azul SA,AZUL,05501U106,1197422.0,15758073.52,0.9564758148,BR,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Delta Air Lines Inc,DAL,247361702,5445338.0,166518436.04,10.1072543281,US,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Fidelity Government Portfolio,FIGXX,316175108,10941770.39,10941770.39,0.6641382105,US,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
General Dynamics Corp,GD,369550108,360724.0,49935023.32,3.0309315447,US,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Gol Linhas Aereas Inteligentes,GOL,38045R206,2304715.0,14058761.5,0.8533318076,BR,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Grupo Aeroportuario del Centro,OMAB,400501102,466544.0,17150157.44,1.0409718415,MX,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Grupo Aeroportuario del Pacifi,PAC,400506101,229110.0,18475430.4,1.1214126094,MX,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Grupo Aeroportuario del Surest,ASR,40051E202,155750.0,18071672.5,1.0969055105,MX,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Hawaiian Holdings Inc,HA,419879101,3774826.0,48657507.14,2.9533894945,US,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
JetBlue Airways Corp,JBLU,477143101,5666131.0,64197264.23,3.8966140457,US,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Air France-KLM,AF,F01699135,3904347.0,13559081.04,0.8230024482,FR,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Deutsche Lufthansa AG,LHA,D1908N106,1684162.0,14533107.03,0.8821233998,DE,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
China Southern Airlines Co Ltd,1055,Y1503W102,28708338.0,15483881.12,0.939833019,CN,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
CHINA EAST AIR,670,Y1406M102,36718162.0,15682107.37,0.9518648587,CN,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
SATS Ltd,SATS,Y7992U101,8071648.0,16734012.56,1.0157128838,SG,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
TravelSky Technology Ltd,696,Y8972V101,7865041.0,16785411.47,1.0188326696,CN,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
REGAL GROUP,357,Y3245V103,3172257.0,17805456.67,1.0807468727,CN,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Qantas Airways Ltd,QAN,Q77974550,6044049.0,17532659.9,1.0641887882,AU,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Singapore Airlines Ltd,SIA,Y7992P128,6634539.0,16865206.64,1.0236760377,SG,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Ryanair Holdings PLC,RYAAY,783513203,212508.0,17374654.08,1.0545982284,IE,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
SkyWest Inc,SKYW,830879102,2040956.0,60942946.16,3.6990850442,US,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Southwest Airlines Co,LUV,844741108,4403275.0,165122812.5,10.0225434552,US,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Textron Inc,TXT,883203101,1384168.0,49954623.12,3.0321212038,US,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
United Airlines Holdings Inc,UAL,910047109,4757184.0,165312144.0,10.0340354057,US,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
"Mount Vernon Liquid Assets Portfolio, LLC",,N/A,228734457.0,228734457.0,13.8836118437,US,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Turk Hava Yollari AO,THYAO,M8926R100,11867184.0,16134852.48,0.9793453592,TR,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
JET2 PLC,DTG,G2657C132,1918028.0,16619213.42,1.0087448619,GB,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
TAV Havalimanlari Holding AS,TAVHL,M8782T109,8371937.0,16705389.81,1.0139755541,TR,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
easyJet PLC,EZJ,G3030S109,2260842.0,14633130.5,0.8881945753,GB,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Pegasus Hava Tasimaciligi AS,PGSUS,M7846J107,2872731.0,17185610.33,1.0431237436,TR,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Airports of Thailand PCL,AOT,Y0028Q145,9260885.0,16512505.01,1.0022679272,TH,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Cargojet Inc,CJT,14179V503,425779.0,60981797.97,3.7014432523,CA,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Wizz Air Holdings Plc,WIZZ,G96871101,383445.0,15407465.1,0.9351947569,CH,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Air Canada,AC,008911877,5137823.0,60540304.81,3.6746457171,CA,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Aena SME SA,AENA,E526K0106,117520.0,16438001.66,0.9977457594,ES,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Flughafen Zurich AG,FHZN,H26552135,115092.0,15819605.02,0.9602106236,CH,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
Copa Holdings SA,CPA,P31076105,323318.0,16275828.12,0.9879022295,PA,2020-09-30,2020-11-27,0001145549-20-071918,2020_Q3,NPORT-P
