search,company,cik,form,filed,accession
U.S. Global Jets,CALAMOS INVESTMENT TRUST/IL  (CIK 0000826732),0000826732,NPORT-P,2025-03-25,0001752724-25-066817
U.S. Global Jets,ETF Series Solutions  (CIK 0001540305),0001540305,NPORT-P,2024-11-29,0001145549-24-077360
U.S. Global Jets,ETF Series Solutions  (CIK 0001540305),0001540305,NPORT-P,2023-11-29,0001145549-23-074377
U.S. Global Jets,ETF Series Solutions  (CIK 0001540305),0001540305,NPORT-P,2024-05-30,0001145549-24-035212
U.S. Global Jets,CALAMOS INVESTMENT TRUST/IL  (CIK 0000826732),0000826732,NPORT-P,2024-12-16,0001752724-24-284036
U.S. Global Jets,ETF Series Solutions  (CIK 0001540305),0001540305,N-CEN,2019-03-18,0001145549-19-008115
U.S. Global Jets,ETF Series Solutions  (CIK 0001540305),0001540305,NPORT-P,2025-11-26,0000894189-25-016157
U.S. Global Jets,ETF Series Solutions  (CIK 0001540305),0001540305,NPORT-P,2025-05-30,0001145549-25-038248
U.S. Global Jets,ETF Series Solutions  (CIK 0001540305),0001540305,NPORT-P,2023-05-30,0001145549-23-034851
U.S. Global Jets,ETF Series Solutions  (CIK 0001540305),0001540305,NPORT-P,2022-11-29,0001145549-22-073029
U.S. Global Jets,ETF Series Solutions  (CIK 0001540305),0001540305,N-CEN,2021-03-16,0001145549-21-016344
U.S. Global Jets,Investment Managers Series Trust II  (CIK 0001587982),0001587982,NPORT-P,2021-08-27,0001145549-21-052348
U.S. Global Jets,ETF Series Solutions  (CIK 0001540305),0001540305,N-CEN,2022-03-16,0001145549-22-016404
U.S. Global Jets,ETF Series Solutions  (CIK 0001540305),0001540305,N-CEN,2024-03-15,0001145549-24-016596
U.S. Global Jets,ETF Series Solutions  (CIK 0001540305),0001540305,N-CEN,2020-03-13,0001145549-20-015091
U.S. Global Jets,ETF Series Solutions  (CIK 0001540305),0001540305,N-CEN,2023-03-16,0001145549-23-016977
U.S. Global Jets,ETF Series Solutions  (CIK 0001540305),0001540305,N-CEN,2025-03-17,0001145549-25-018373
U.S. Global Jets,Investment Managers Series Trust II  (CIK 0001587982),0001587982,NPORT-P/A,2021-11-12,0001145549-21-065252
US Global Jets ETF,CALAMOS INVESTMENT TRUST/IL  (CIK 0000826732),0000826732,NPORT-P,2022-03-25,0001145549-22-017504
US Global Jets ETF,CALAMOS INVESTMENT TRUST/IL  (CIK 0000826732),0000826732,NPORT-P,2023-12-27,0001145549-23-078190
US Global Jets ETF,CALAMOS INVESTMENT TRUST/IL  (CIK 0000826732),0000826732,NPORT-P,2022-09-29,0001145549-22-060192
US Global Jets ETF,CALAMOS INVESTMENT TRUST/IL  (CIK 0000826732),0000826732,NPORT-P,2021-12-23,0001145549-21-075785
US Global Jets ETF,Horizon Funds  (CIK 0001643174),0001643174,NPORT-P,2025-04-29,0001145549-25-028484
US Global Jets ETF,Calamos Long/Short Equity & Dynamic Income Trust  (CPZ)  (CIK 0001717457),0001717457,NPORT-P,2022-03-25,0001145549-22-017514
US Global Jets ETF,Managed Portfolio Series  (CIK 0001511699),0001511699,NPORT-P,2025-11-24,0000894189-25-014323
US Global Jets ETF,Managed Portfolio Series  (CIK 0001511699),0001511699,NPORT-P,2025-08-26,0000894189-25-005883
US Global Jets ETF,Managed Portfolio Series  (CIK 0001511699),0001511699,NPORT-P,2025-05-29,0001145549-25-036711
US Global Jets ETF,LEUTHOLD FUNDS INC  (CIK 0001000351),0001000351,NPORT-P,2025-02-18,0001145549-25-007277
US Global Jets ETF,Community Capital Trust  (CIK 0001078195),0001078195,NPORT-P,2021-01-27,0001752724-21-012213
US Global Jets ETF,Community Capital Trust  (CIK 0001078195),0001078195,NPORT-P,2021-04-28,0001752724-21-087557
US Global Jets ETF,Horizon Funds  (CIK 0001643174),0001643174,NPORT-P,2022-01-28,0001145549-22-004140
US Global Jets ETF,Horizon Funds  (CIK 0001643174),0001643174,NPORT-P,2021-10-26,0001145549-21-061174
US Global Jets ETF,Collaborative Investment Series Trust  (CIK 0001719812),0001719812,NPORT-P,2022-05-17,0001162044-22-000618
US Global Jets ETF,CALAMOS INVESTMENT TRUST/IL  (CIK 0000826732),0000826732,NPORT-P,2025-06-27,0001752724-25-161585
US Global Jets ETF,Northern Lights Fund Trust IV  (CIK 0001644419),0001644419,NPORT-P,2025-04-28,0001752724-25-094533
JETS ETF,ETF Series Solutions  (CIK 0001540305),0001540305,NPORT-P,2020-05-28,0001145549-20-029696
