symbol,source_name,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7
AA,American,0.01705260189729553,-0.015088207648001863,-0.2956766525534195,-0.1812427938599524,-0.2205704971590718,0.01707659900978572,0.11716224175042239
ALGT,Allegiant Air,-0.12972768256852607,-0.14574736983698838,-0.38533870785684426,-0.3333685853732219,-0.12823530099482847,-0.01429076532028864,0.02266425028102246
ALK,Alaska,-0.04775137528192378,-0.06573250784234898,-0.1215514750131401,0.0017273353078252622,-0.0319812294304073,-0.014427465765261244,0.11683646521251814
DAL,Delta,-0.09095877507718478,-0.1554969215819287,-0.11665286522163192,-0.056090053580989875,-0.029428706269845718,0.013133306275773343,0.13162475872548973
JBLU,JetBlue,-0.1776829934282695,-0.031482909526713204,-0.08648959683892392,-0.08561451711962013,-0.13356904467520891,-0.13674810476036248,-0.1888557172594402
LUV,Southwest,-0.08656584832361507,-0.04576713488127589,-0.100105196894314,0.11621791423939144,-0.03766694959643206,-0.11715273331265981,-0.020659535788136608
SKYW,SkyWest,0.06952229590228287,-0.03748056521692145,-0.0032921118318008837,0.025481221519588648,-0.10945715970097998,-0.05924787409174668,-0.07484551408097732
UAL,United,-0.07714620669366798,-0.12510730472732937,-0.0030682330070499067,0.07011758836055201,-0.08858413833131061,-0.23825966945722352,0.12378884840217744
ULCC,Frontier,-0.18388763217474222,-0.038512854748293406,0.02099633263221179,-0.09036252400619252,0.12173286235324184,0.21049591250400296,0.0026629992103491457
UPS,United Parcel Service,-0.008960425041177333,0.18794435506913085,0.019961433096884813,-0.0037865959059816953,0.011655286558490019,-0.021022462587840154,0.012416691141844911
