date,close,prediction,actual,signal,strategy_return,emp_lag_3,cum_strategy,cum_buyhold
2023-08-31,88.84,-3.328801866165944,-28.181083265966045,-1,28.181083265966045,2.034017183938275,1.2818108326596604,0.7181891673403396
2023-09-29,76.86,13.86974719752676,-13.484916704187311,1,-13.484916704187311,-0.13748066678123116,1.1089597095702555,0.6213419563459983
2023-10-31,66.62,-5.817771678504447,-13.322924798334624,-1,13.322924798334624,0.3958010669420142,1.2567055777201308,0.5385610347615198
2023-11-30,68.49,-19.812958768413367,2.806964875412765,-1,-2.806964875412765,0.1542680836475796,1.2214302935661736,0.5536782538399352
2023-12-29,82.61,0.41150922790014643,20.61614834282377,1,20.61614834282377,2.327571453020716,1.4732421747919637,0.6678253839935325
2024-01-31,78.4,-12.92521487838318,-5.096235322600162,-1,5.096235322600162,0.9198862686067955,1.5483220628911545,0.633791430881164
2024-02-29,72.78,-14.905526861831827,-7.168367346938775,-1,7.168367346938775,0.679482930062969,1.6593114760728929,0.5883589329021826
2024-03-28,75.21,-26.4813327059593,3.338829348722161,-1,-3.338829348722161,-0.24691358024691024,1.6039098975230561,0.6080032336297492
2024-04-30,54.56,7.429194331505455,-27.456455258609214,1,-27.456455258609214,3.300330033003296,1.1635330941212334,0.44106709781729986
2024-05-31,53.2,-8.11661502204187,-2.4926686217008776,-1,2.4926686217008776,2.4121405750798797,1.1925361184614987,0.4300727566693613
2024-06-28,50.23,1.5391283245990603,-5.5827067669173,1,-5.5827067669173,0.5927312431757814,1.1259603238782157,0.4060630557801131
2024-07-31,56.07,3.529503805126529,11.626518017121246,1,11.626518017121246,-0.1860753605210097,1.2568703037995532,0.45327405012126104
2024-08-30,42.08,-14.647933828975333,-24.950954164437313,-1,24.950954164437313,0.8699704831443222,1.5704714372070037,0.3401778496362166
2024-09-30,55.06,18.7663423264691,30.846007604562754,1,30.846007604562754,0.0,2.054899176155362,0.44510913500404203
2024-10-31,65.01,14.730114441316822,18.07119505993462,1,18.07119505993462,-1.062682889265365,2.426244014563387,0.5255456750202102
2024-11-29,81.84,9.961672642075426,25.888324873096447,1,25.888324873096447,-0.9339975093399788,3.054357947267614,0.6616006467259499
2024-12-31,94.12,-12.271065003994254,15.004887585532757,-1,-15.004887585532757,-1.4613450659962335,2.596054970820323,0.7608730800323363
2025-01-31,102.43,11.381337215300574,8.829154271143214,1,8.829154271143214,1.8657311433583068,2.8252646691577312,0.8280517380759903
2025-02-28,73.5,-18.520624584857824,-28.243678609782297,-1,28.243678609782297,1.7063243581715737,3.62322334219037,0.5941794664510913
2025-03-31,51.65,-0.14704307956394636,-29.727891156462583,-1,29.727891156462583,-0.47714329690626833,4.700331233712269,0.41754244139046076
2025-04-30,46.93,0.30980484784281126,-9.138431752178121,1,-9.138431752178121,-0.12372409526755224,4.270794671793162,0.37938561034761514
2025-05-30,55.58,-19.14451531351091,18.431706797357773,-1,-18.431706797357773,1.7962217404769332,3.483614319971068,0.4493128536782538
2025-06-30,54.95,8.644940090334714,-1.133501259445835,1,-1.133501259445835,-0.18253726802555104,3.4441275077799607,0.44421988682295876
2025-07-31,51.64,7.443788910579481,-6.023657870791633,1,-6.023657870791633,0.289545870161545,3.236665050077473,0.41746160064672594
2025-08-29,62.66,-6.5565626701009005,21.340046475600303,-1,-21.340046475600303,-0.09117155447500025,2.5459592241314284,0.5065481002425222
2025-09-30,60.77,0.2547161851684375,-3.0162783274816363,1,-3.0162783274816363,-1.0038022813688263,2.4691660078274325,0.491269199676637
2025-10-31,62.18,14.822249770987897,2.320223794635501,1,2.320223794635501,-0.39944691964971524,2.526456185070096,0.5026677445432497
